 Variables ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Sulphur Dioxide (Maximum 24-hour Mean) * (Microgram Per Cubic Metre) ,84,80,93,104,80,98,75,83,75,61,59,65,57,30
 Nitrogen Dioxide (Annual Mean) * (Microgram Per Cubic Metre) ,22,22,22,23,25,25,25,24,22,26,25,26,23,20
 Nitrogen Dioxide (Maximum 1-hour Mean) * (Microgram Per Cubic Metre) ,177,126,147,153,189,154,132,121,99,123,158,147,156,118
 Particulate Matter (PM10) (Annual Mean) * (Microgram Per Cubic Metre) ,27,25,29,26,27,29,31,30,37,26,25,29,30,25
 Particulate Matter (PM10) (99th Percentile 24-hour Mean) * (Microgram Per Cubic Metre) ,53,49,59,76,55,57,215,75,186,61,57,59,90,43
 Particulate Matter (PM2.5) (Annual Mean) * (Microgram Per Cubic Metre) ,19,16,19,17,17,19,20,18,24,15,14,15,16,11
 Particulate Matter (PM2.5) (99th Percentile 24-hour Mean) * (Microgram Per Cubic Metre) ,37,32,44,56,41,42,176,51,145,40,34,32,62,24
 Carbon Monoxide (Maximum 8-hour Mean) * (Milligram Per Cubic Metre) ,1.7,1.6,1.9,2.4,2,1.9,5.5,1.8,3.3,2.2,1.7,2,1.7,1.2
 Carbon Monoxide (Maximum 1-hour Mean) * (Milligram Per Cubic Metre) ,2.5,2.3,3.9,2.8,2.6,2.4,7.5,2.7,3.5,2.7,2.3,2.5,2.3,1.6
 Ozone (Maximum 8-hour Mean) * (Microgram Per Cubic Metre) ,206,183,105,139,123,122,139,135,152,115,191,150,125,145
