year,sector,subsector,electricity_consumption_gwh
2005,Industry-Related,Manufacturing,13836.13
2005,Industry-Related,Construction,234.7797773
2005,Industry-Related,Utilities,410.9750725
2005,Industry-Related,Other Industry-Related,27.15382418
2005,Commercial-Related,Wholesale and Retail Trade,2109.8
2005,Commercial-Related,Accomodation and Food Services,1031.33
2005,Commercial-Related,Information and Communications,667.1916185
2005,Commercial-Related,Financial and Insurance Activities,1291.94
2005,Commercial-Related,Real Estate Activities,3712.42
2005,Commercial-Related,"Professional, Scientific",650.2266305
2005,Commercial-Related,Other Commercial-Related,3612.7
2005,Transport-Related,Transport-Related,1200.01
2005,Households,Households,6092.46
2005,Others,Others,612.1397596
2006,Industry-Related,Manufacturing,14397.16
2006,Industry-Related,Construction,250.5233416
2006,Industry-Related,Utilities,441.8148195
2006,Industry-Related,Other Industry-Related,25.8785815
2006,Commercial-Related,Wholesale and Retail Trade,1977.24
2006,Commercial-Related,Accomodation and Food Services,1087.05
2006,Commercial-Related,Information and Communications,708.7072216
2006,Commercial-Related,Financial and Insurance Activities,1659.68
2006,Commercial-Related,Real Estate Activities,3780.78
2006,Commercial-Related,"Professional, Scientific",740.4570708
2006,Commercial-Related,Other Commercial-Related,3831.81
2006,Transport-Related,Transport-Related,1245.39
2006,Households,Households,6109.13
2006,Others,Others,546.1866564
2007,Industry-Related,Manufacturing,14943.19
2007,Industry-Related,Construction,279.127954
2007,Industry-Related,Utilities,569.1559425
2007,Industry-Related,Other Industry-Related,27.49112126
2007,Commercial-Related,Wholesale and Retail Trade,1891.93
2007,Commercial-Related,Accomodation and Food Services,1131.45
2007,Commercial-Related,Information and Communications,761.2494853
2007,Commercial-Related,Financial and Insurance Activities,2014.58
2007,Commercial-Related,Real Estate Activities,3809.96
2007,Commercial-Related,"Professional, Scientific",834.2393188
2007,Commercial-Related,Other Commercial-Related,4077.17
2007,Transport-Related,Transport-Related,1300.16
2007,Households,Households,6163.74
2007,Others,Others,501.4693271
2008,Industry-Related,Manufacturing,15032.67
2008,Industry-Related,Construction,300.8765311
2008,Industry-Related,Utilities,668.3618988
2008,Industry-Related,Other Industry-Related,28.96758662
2008,Commercial-Related,Wholesale and Retail Trade,1924.69
2008,Commercial-Related,Accomodation and Food Services,1171.67
2008,Commercial-Related,Information and Communications,844.527343
2008,Commercial-Related,Financial and Insurance Activities,2014.86
2008,Commercial-Related,Real Estate Activities,3931.23
2008,Commercial-Related,"Professional, Scientific",841.9872376
2008,Commercial-Related,Other Commercial-Related,4275.67
2008,Transport-Related,Transport-Related,1399.83
2008,Households,Households,6094.03
2008,Others,Others,457.5854964
2009,Industry-Related,Manufacturing,14539.66
2009,Industry-Related,Construction,308.2953492
2009,Industry-Related,Utilities,691.8761358
2009,Industry-Related,Other Industry-Related,30.42788444
2009,Commercial-Related,Wholesale and Retail Trade,1821.37
2009,Commercial-Related,Accomodation and Food Services,1169.19
2009,Commercial-Related,Information and Communications,865.98495
2009,Commercial-Related,Financial and Insurance Activities,1865.43
2009,Commercial-Related,Real Estate Activities,4050.85
2009,Commercial-Related,"Professional, Scientific",778.4293624
2009,Commercial-Related,Other Commercial-Related,4248.81
2009,Transport-Related,Transport-Related,1607.81
2009,Households,Households,6430.8
2009,Others,Others,413.9405639
2010,Industry-Related,Manufacturing,16448.03
2010,Industry-Related,Construction,337.8392136
2010,Industry-Related,Utilities,843.3975066
2010,Industry-Related,Other Industry-Related,33.30951385
2010,Commercial-Related,Wholesale and Retail Trade,1922.97
2010,Commercial-Related,Accomodation and Food Services,1219.62
2010,Commercial-Related,Information and Communications,925.4830415
2010,Commercial-Related,Financial and Insurance Activities,1926.99
2010,Commercial-Related,Real Estate Activities,4346.16
2010,Commercial-Related,"Professional, Scientific",885.7695807
2010,Commercial-Related,Other Commercial-Related,4242.73
2010,Transport-Related,Transport-Related,2098.68
2010,Households,Households,6635.97
2010,Others,Others,384.8057052
2011,Industry-Related,Manufacturing,16752.4
2011,Industry-Related,Construction,362.9679315
2011,Industry-Related,Utilities,928.504886
2011,Industry-Related,Other Industry-Related,33.63363228
2011,Commercial-Related,Wholesale and Retail Trade,1898.85
2011,Commercial-Related,Accomodation and Food Services,1251.37
2011,Commercial-Related,Information and Communications,988.6486524
2011,Commercial-Related,Financial and Insurance Activities,2003.17
2011,Commercial-Related,Real Estate Activities,4454.69
2011,Commercial-Related,"Professional, Scientific",934.0836861
2011,Commercial-Related,Other Commercial-Related,4345.44
2011,Transport-Related,Transport-Related,2224.17
2011,Households,Households,6482.7
2011,Others,Others,346.5077044
2012,Industry-Related,Manufacturing,17112.4
2012,Industry-Related,Construction,443.6891384
2012,Industry-Related,Utilities,978.9150462
2012,Industry-Related,Other Industry-Related,37.52704647
2012,Commercial-Related,Wholesale and Retail Trade,1909.36
2012,Commercial-Related,Accomodation and Food Services,1275.14
2012,Commercial-Related,Information and Communications,1084.42
2012,Commercial-Related,Financial and Insurance Activities,2204.2
2012,Commercial-Related,Real Estate Activities,4522.6
2012,Commercial-Related,"Professional, Scientific",930.7881143
2012,Commercial-Related,Other Commercial-Related,4439.58
2012,Transport-Related,Transport-Related,2328.59
2012,Households,Households,6629.53
2012,Others,Others,303.9688687
2013,Industry-Related,Manufacturing,17237.38
2013,Industry-Related,Construction,490.5363536
2013,Industry-Related,Utilities,1074.84
2013,Industry-Related,Other Industry-Related,40.06373092
2013,Commercial-Related,Wholesale and Retail Trade,1967.08
2013,Commercial-Related,Accomodation and Food Services,1326.57
2013,Commercial-Related,Information and Communications,1149.09
2013,Commercial-Related,Financial and Insurance Activities,2257.94
2013,Commercial-Related,Real Estate Activities,4532.39
2013,Commercial-Related,"Professional, Scientific",932.74264
2013,Commercial-Related,Other Commercial-Related,4552.8
2013,Transport-Related,Transport-Related,2369.09
2013,Households,Households,6754.91
2013,Others,Others,263.3827324
2014,Industry-Related,Manufacturing,17988.95
2014,Industry-Related,Construction,527.117294
2014,Industry-Related,Utilities,1197.96
2014,Industry-Related,Other Industry-Related,39.16869764
2014,Commercial-Related,Wholesale and Retail Trade,2020.5
2014,Commercial-Related,Accomodation and Food Services,1332.27
2014,Commercial-Related,Information and Communications,1294.52
2014,Commercial-Related,Financial and Insurance Activities,2574.1
2014,Commercial-Related,Real Estate Activities,4485.74
2014,Commercial-Related,"Professional, Scientific",680.9593286
2014,Commercial-Related,Other Commercial-Related,4658.54
2014,Transport-Related,Transport-Related,2441.03
2014,Households,Households,6924.39
2014,Others,Others,237.7006635
2015,Industry-Related,Manufacturing,18277.61
2015,Industry-Related,Construction,531.0360408
2015,Industry-Related,Utilities,1237.16
2015,Industry-Related,Other Industry-Related,42.19591686
2015,Commercial-Related,Wholesale and Retail Trade,2107.42
2015,Commercial-Related,Accomodation and Food Services,1350.2
2015,Commercial-Related,Information and Communications,1426.75
2015,Commercial-Related,Financial and Insurance Activities,2718.12
2015,Commercial-Related,Real Estate Activities,4454.57
2015,Commercial-Related,"Professional, Scientific",713.7016743
