Entity,Code,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
Africa,,1965,0,0,0,38.62676444444444,0,9.543754166666666,323.4961383333333,327.33316444444444,0
Africa,,1966,0,0,0,43.08334472222222,0,10.669916111111112,323.12219333333337,358.1326738888889,0
Africa,,1967,0,0,0,44.97399,0,10.545669722222224,330.2915847222222,355.28145861111113,0
Africa,,1968,0,0,0,52.60650166666667,0,10.688969722222222,343.5129108333333,374.8521305555555,0
Africa,,1969,0,0,0,61.39136,0,12.491999722222223,346.64292166666667,379.9730861111111,0
Africa,,1970,0,0,0,76.75119388888889,0,15.520325,360.75689944444446,419.8099002777777,0
Africa,,1971,0,0,0,72.25941916666666,0,18.40526361111111,383.0123186111111,474.4581836111111,0.164
Africa,,1972,0,0,0,82.31443444444444,0,24.670656944444445,384.2108033333333,514.2536772222222,0.165
Africa,,1973,0,0,0,87.07141,0,39.55179138888889,408.9103533333333,553.1083622222222,0.17
Africa,,1974,0,0,0,99.07520638888889,0,44.5184875,425.6462261111111,572.2501369444445,0.175
Africa,,1975,0,0,0,104.77213888888888,0,53.6383775,451.0805036111111,598.7911399999999,0.172
Africa,,1976,0,0,0,116.10453666666666,0,60.98139,481.0741561111111,664.2742522222222,0.185
Africa,,1977,0,0,0,127.57991138888887,0,68.23419083333333,491.698455,703.373181388889,0.189
Africa,,1978,0,0,0,128.63038527777778,0,97.36989777777777,477.81558277777776,740.625191111111,0.195
Africa,,1979,0,0,0,137.68120277777777,0,148.84281583333333,507.2469963888889,789.8455275,0.201
Africa,,1980,0,0,0,134.19940111111111,0,186.9139772222222,543.5570594444445,835.2707033333334,0.207
